chapter#	sectionfloat	isextra	paragraph
24	0.583333	0	Az eljárás általánosítható. Nem szükséges, hogy a felület Lambert-féle legyen, és az sem, hogy a fényforrás pontszerű legyen. Lényegében ugyanez a módszer használható, ha sikerül a felület R(n) reflektanciatérképét (reflectance map) meghatározni, amely a felületelem fényességét annak n normálisa függvényében fejezi ki.
13	0.272727	0	Az összetett állítások létrehozásához az olyan elemi állítások, mint a Lyuk = igaz vagy a Fogfájás = hamis, bármely szokásos logikai kapcsolat felhasználásával kombinálhatók. Például a Lyuk = igaz ∧ Fogfájás = hamis egy olyan állítás, amelyhez valamilyen hihetőségi (hihetetlenségi) mértéket rendelhetünk. Ahogy az előző bekezdésben leírtuk, a fenti állítást úgy is jelölhetjük, hogy fogszuvasodás ∧ ¬fogfájás.
1	0.793103	0	Ez a folyamat a beszédfelismerés területén jól látható. Az 1970-es években igen sok különböző architektúrát és megközelítést próbáltak ki. Ezek közül sok ad hoc jellegű és gyenge volt, amelyek működését csupán néhány, erre a célra megválasztott példán demonstrálták. A legutóbbi években a rejtett Markov-modelleken (hidden Markov models, HMM) alapuló megközelítések uralják e területet. A HMM-ek két aspektusa lényeges. Először is szigorú matematikai elméleten alapulnak. Ez lehetővé tette, hogy a beszédkutatók a más területeken kifejlesztett több évtizedes matematikai eredményekre építsenek. Másodszor, e modelleket valós és nagyméretű beszédgyűjteményt felhasználó tanulási folyamat során hozzák létre. Ez biztosítja robusztus működésüket. A szigorú vaktesztek a rejtett Markov-modellek folyamatos javulását mutatják. A beszédtechnológia és a vele rokon kézírás-felismerés útban van a széles körű ipari és fogyasztói alkalmazások felé.
2	0.526316	1	Több internal action-t is definiálhatnánk (ezeket mind a src/java/adamant könyvtáron belül), lehetne több ágensünk is (például adamant_master.asl, adamant_slave.asl stb. neveken), de maradjunk az egyszerű példánál és tegyük fel, hogy elégedettek vagyunk az ágensünk működésével. Szeretnénk beadni a megoldást. Ehhez a következőket kell tennünk: 1. Készítsünk elő egy tetszőleges üres mappát (pl. c:\temp)! 2. Hozzunk létre ezen belül egy asl almappát, és másoljuk ebbe bele az ágensek .asl fájljait. (Tehát lesz egy c:\temp\asl mappánk, és azon belül egy c:\temp\adamant_.asl fájlunk.) 3. Hozzunk létre az eredeti mappán belül egy java mappát és másoljuk bele az AgentGame src/java/adamant könyvtárát! (Magát a könyvtárat is másoljuk, ne csak a tartalmát! Így tehát lesz egy c:\temp\java\adamant könyvtárunk, illetve egy c:\temp\java\adamant\AlwaysTrue.java fájlunk.) 4. Hozzunk létre egy config.txt fájlt és másoljuk bele az AgentGame.mas2j fájlból az "adamant_ [verbose=0] #5;" sort! (Így tehát lesz egy c:\temp\config.txt fájlunk.) 5. Tömörítsük össze a mappa tartalmát (figyelve arra, hogy a tömörített fájlba a gyökérkönyvtár ne kerüljön bele), és töltsük fel a megoldást a szerverre!
12	0.714286	0	Ez az alfejezet a megfelelő együttes tervek megalkotására fókuszál, elodázva egyelőre a koordinációs kérdéskört. Ezt többtestű tervkészítésnek (multibody plannining) nevezzük, és tulajdonképpen az a tervkészítési probléma, mellyel egy egyedülálló centralizált ágens áll szemben, mely cselekvéseket diktálhat minden fizikai entitásnak. Egy valóban multiágens esetben ez lehetővé teszi minden ágens számára, hogy felderítse melyek a lehetséges együttes tervek, melyek együttes végrehajtása sikeres lenne.
10	0.606061	0	Ebben az alfejezetben az internetes bevásárlással kapcsolatos tudás egy részét fogjuk kódolni. Egy olyan vásárló-kutató ágenst fogunk tervezni, amely segíti a vásárlónak az interneten megtalálni a termékek ajánlatait. A vásárló ágens a vásárlótól a termék leírását kapja és feladata a termék eladását hirdető weblapok listáját előállítani. Egyes esetekben a vásárló leírása pontos lesz, mint amilyen például a Coolpix 995 digitális fényképezőgép – a feladat ekkor a legjobb ajánlatot tevő boltot megtalálni. Más esetekben a leírás csak részben lesz specifikált, mint például a 300 dollárnál olcsóbb digitális fényképezőgép, és az ágens kénytelen lesz különböző termékeket összehasonlítani.
11	0.461538	0	Bár ez a példa nagyon egyszerű, jól szemlélteti a részben rendezett tervkészítés erősségét. Először is az okozati kapcsolatok a keresési tér (fa) egy korai szűkítéséhez metszéséhez vezettek, mert kizártak olyan területeket, amelyek a feloldhatatlan ütközések miatt nem tartalmaznak megoldásokat. Másodszor a  ábra megoldása egy részben rendezett terv. Ebben az esetben ennek előnye nem nagy, mert csak két lehetséges sorba rendezés létezik, mégis egy ágens számára előnyös lehet ez a rugalmasság, például ha a kereket sűrű forgalomban kellene lecserélni.
9	0.724138	0	A bizonyítás képes megválaszolni a „A Kíváncsiság ölte meg a macskát?” kérdést, de gyakran ennél általánosabb kérdéseket akarunk feltenni, mint például: „Ki ölte meg a macskát?” A rezolúció meg tudja válaszolni ezt is, de ennek a válasznak a levezetése egy kicsit több munkát igényel. A célállítás a ∃w Megöli(w, Tuna), amely negáláskor CNF-ben ¬Megöli(w, Tuna) lesz. Megismételve a bizonyítást a  ábrán az új negált céllal, hasonló bizonyítási fát kapunk, de a következő helyettesítéssel: {w/Kíváncsiság} az egyik lépésben. Így ebben az esetben, annak a kiderítése, hogy ki ölte meg a macskát, nem áll másból, mint a lekérdezés változóiban lévő lekötések nyomon követése a bizonyításban.
2	0.105263	1	Vezessük be az érzet-történetek O^T={O^T: T → O} halmazát, ahol O^T az ágens egy érzet-története, egy függvény, amely minden időpillanathoz hozzárendel egy-egy érzetet. Adott O^T érzet-történet t időpillanatig vett prefixét O^t jelölje. Ez tehát a t időpillanatig beérkezett érzetek története (az O^T függvény [0..t] intervallumra való leszűkítése). A lehetséges érzettörténet-prefixek halmazát ekkor ennek megfelelően O t ={ O t |t∈T és  O T ∈ O T }  jelöli. Ezekből képez tehát az ágens-függvény a cselekvésekbe. Vegyük észre, hogy itt nem foglalkozunk azzal, hogy aktuálisan (pl. a lefutás során) mi a jelen, a múlt, vagy a jövő. Ennek oka egyszerű: a bevezetett leírások nem igénylik a „jelen” bevezetését. Az ágensről egy-egy teljes lefutás kapcsán beszélünk most.
25	0.814815	0	Egy másik fontos, modern programozási nyelv (és hozzá tartozó architektúra) a Firby (Firby, 1994) által megalkotott reaktív akciótervrendszer (reactive action plan system, RAPS). A RAPS lehetővé teszi, hogy a programozók célokat és ezekhez tartozó terveket (vagy részleges stratégiákat) definiáljanak, valamint feltételeket, amelyek esetén az adott terv nagy valószínűséggel sikeres lesz. Ami nagyon fontos, hogy a RAPS lehetőséget ad az esetleges kudarc kezelésére is, ami szükségszerű velejárója a valódi robotikai rendszereknek. A programozó számos érzékelő rutint specifikálhat a különböző típusú kudarcok esetére, és mindegyikhez definiálhat egy kivételkezelési rutint. Háromrétegű architektúráknál gyakran használják a RAPS-ot a végrehajtó rétegben, az újratervezést nem igénylő kis eltérések, váratlan események kezelésére.
3	0.916667	1	b) A 3 × 3 világban alkalmazza a megválasztott algoritmust az optimális cselekvési szekvencia kiszámítására egy olyan kezdeti állapottal, ahol a felső három négyzet mindegyikében található piszok, és az ágens a középső négyzetben tartózkodik.
6	0.95	0	Állítsa elő az alfa-béta nyesés helyességének formális bizonyítását. Ehhez tekintse a  ábrán bemutatott helyzetet. A kérdés az, hogy az algoritmus lenyesse-e az n[j ]csomópontot, ami egy max-csomópont és az n[1] leszármazottja. Az alapötlet, hogy akkor és csak akkor nyessük le, ha n[1] minimax értéke igazolhatóan független n[j] értékétől. a. n[1 ]értékét az alábbi képlet adja meg:
14	0.130435	1	Ezt az eljárást faktorizációnak, az egyes tagokat pedig faktoroknak nevezzük. Látható, hogy egy adott változó faktora csak az adott változó szülőit tartalmazza a feltételes valószínűség feltétel részében.
14	0.826087	1	Az orvosi döntéstámogatás gépi eszközökkel való segítésére alkalmasak az * integrált kórházi információrendszerek, valamint a * mesterséges intelligencia alkalmazások, * tudásgazdálkodás, ismeretszervezés (knowledge engineering)
23	0.055556	0	A valószínűségi nyelvi modell (probabilistic language model) valószínűségi eloszlást definiál egy (esetleg végtelen) karakterfüzér-halmaz felett. Példaként állhatnak a  alfejezetben beszédmegértésre használt bi- és trigram nyelvi modellek. Az unigram modell P(w) valószínűséget rendel a szókincs minden egyes szavához. A modell feltételezi, hogy a szavak függetlenül lettek kiválasztva, azaz a karakterfüzér valószínűsége egyszerűen a szavak valószínűségének szorzata:  . A következő húszszavas szekvenciát véletlen módon generáltuk, a könyv szavainak unigram modellje alapján:^[236]
5	0.181818	1	Nézzük most a másik, 14-es korlátot. Eszerint tejet a középső, 3-as számú isznak. Az előbbiekhez hasonlóan tejet ivó személy házát reprezentáló változónak írjuk elő a 3-as házat, mint egyetlen lehetséges értéket.
1	0.068966	1	A legutóbbi CAM változat a CAM-8, amelyet szintén az MIT fejlesztett ki. A hardver lelkét a STEP nevű ASIC chip adta. A STEP egy skálázható, fizikai rendszer szimulációkra optimalizált multiprocesszor architektúra [HTF]. Egy STEP kártya, ami 16 db processzort tartalmazott, CBus-on keresztül kapcsolódott a rendszer többi eszközéhez. Egy CBus panelbe 8 db kártya fért, így maximum 128 CAM-8 processzorból állhatott egy számítógép.
9	0.965517	1	Az adminisztrációs terület igénye alapvető kérdés, mivel a betegfelvételtől az elbocsátásig biztosítani kell az adatok bevitelét, az alkalmazott gyógymódok és leletek értékelését, az adatok archiválását stb. Ily módon a betegek vizsgálatra történő besorolása, a betegellátással kapcsolatos adatok gyűjtése, a diétás beteg étrendjének összeállítása, a zárójelentés elkészítése, a betegforgalom alakulásának nyomonkövetése stb. „optimálisan” oldható meg, a szükséges statisztikák gyorsan és egyszerűen elkészíthetők. Az egészségügyi intézmények számítóközpontjának elegendő tartalékkal kell rendelkeznie ahhoz, hogy a nagy mennyiségű adat a memóriában tárolható legyen, ugyanakkor biztosítsa a gyors keresést, illetve adatszolgáltatást is.
22	0.259259	0	Még ha lenne is egy tökéletes heurisztikánk, amely lehetővé tenné az irreleváns kitérők nélküli keresést, ezek az algoritmusok akkor sem lennének hatékonyak, mivel bizonyos mondatoknak exponenciálisan sok levezetési fája van. A következő alfejezet megmutatja, hogy mit kezdhetünk ezzel a problémával.
10	0.515152	1	Ha a világ A1 (és szimmetrikusan B1) állapotban lenne, akkor a B (ill. az A), a király figyelmeztetése alapján, meg tudná nevezni kalapja színét. Mégsem teszi. Akkor a világ ezekben az állapotokban nem lehet. A tapasztalt hallgatás (mint egyfajta cselekvés) hatására C hiedelmi állapota következőképpen módosul:
2	0.526316	1	A forráskód legnagyobb része a grafikus komponensek létrehozásával és frissítésével foglalkozik. Ezen kívül mindössze két fontos részlet található a forráskódban. Az első a DebugAction által hívott debugFrame.add():
14	0.869565	1	A változókat egyszerű megnevezéssel és/vagy érték-hozzárendeléssel adjuk meg. Az így meghatározott változók (és a valós hozzárendelt értékük) a továbbiakban bármilyen matematikai összefüggésben szerepelhetnek. Az egyszer meghatározott (nevesített) változók a munkafolyamat végéig (a "quit", az "exit" vagy a "clear" utasításokig) rezidensen maradnak a MATLAB munkaterületen, tehát bármikor előhívhatók a munkafelületen (workspace, ami menthető, és vele mentődnek a változóértékek is, ha szükség van rá!).
13	0.772727	0	Ezzel ugyanarra az információigényre jutottunk, mint a minden egyes tényt külön használó következtetésnél: a keresés változójának P(Lyuk) a priori valószínűségét, valamint minden egyes okozat saját okának fennállása esetén igaz feltételes valószínűségét kell ismernünk.
14	0.869565	1	A MATLAB interaktív programcsomag, amely tudományos, mérnöki és matematikai feladatok megoldására egyaránt jól alkalmazható. Az alapcsomag továbbiakkal (Toolbox-okkal) kiegészítve számos alkalmazási területen számítások elősegítésére készült. Gyártója a The MathWorks Inc. (USA, www.mathworks.com). Nevét a MATrix LABoratory szóösszetétel rövidítéséből kapta, ami utal arra, hogy a legtöbb műveletet, feladatot mátrix formájában rögzített adatokkal végzi. Eredetileg FORTRAN-ban készült, később teljes egészében átíródott C nyelvre és bővíthető a modern programozási környezetben megírt modulokkal, azaz "nyitott".
4	0.958333	0	 Megjegyzés Hasonlítsa össze az A^* és a RLEK keresés hatékonyságát véletlen módon generált problémahalmazokon a 8-as kirakójáték (Manhattan-távolsággal) és a TSP-(MFH-vel, lásd  feladat) problémakörben. Értelmezze az eredményeket. Mi történik az RLEK hatékonyságával, ha a 8-as kirakójáték problémakörben a heurisztika értékeihez egy kis véletlen számot adunk hozzá?
4	0.916667	1	A módosítás tehát azt jelenti, hogy megkeressük az összes csúcsot, amely az aktuálistól legfeljebb k távolságra van, és ebből a halmazból választjuk ki a legjobbat, majd az ehhez vezető első csúcsot választjuk ki következő lépéshez.
6	0.55	0	Hasonlóan a minimaxhoz, a várhatóminimax esetén is alkalmazhatjuk a nyilvánvaló közelítést, vagyis valamilyen ponton levághatjuk a keresést, és a levelekre egy kiértékelő függvényt alkalmazhatunk. Úgy gondolhatnánk, hogy egy olyan játék esetén, mint az ostábla, a kiértékelő függvény elvben semmiben sem tér el a sakknál alkalmazott kiértékelő függvényektől, melyeknek most is magasabb pontot kell adniuk a jobb állásokra. Valójában azonban a véletlen csomópontok jelenléte azt jelenti, hogy sokkal körültekintőbbnek kell lennünk abban a tekintetben, hogy a kiértékelő függvény értékei mit jelentenek. A  ábra mutatja a problémát: ha a kiértékelő függvény a levelekhez az [1, 2, 3, 4] értékeket rendeli hozzá, az A[1] lépés lesz a legjobb, az [1, 20, 30, 400] értékekkel az A[2] lesz a legjobb. Ebből adódóan egy program teljesen másként viselkedik, ha átskálázzuk a kiértékelő függvény értékeket! Kiderül, hogy ha el akarjuk kerülni ezt az érzékenységet, akkor a kiértékelő függvény az egy adott állásból való győzelem valószínűségének (vagy általánosabban az állás várható hasznosságának) csak egy pozitív lineáris transzformációja lehet. Ez a bizonytalanságot is tartalmazó helyzetek fontos és általános tulajdonsága. A  fejezetben tovább foglalkozunk ezzel a kérdéssel.
6	0.1	1	A minimax keresés belátható, hogy helyes eredményt ad (azaz a keresés teljes), de az is belátható, hogy lassú. Olyan ágakat is megvizsgál, ahol már az első lépéstől egyértelmű, hogy jó nem sülhet ki belőle. Ezen próbál az Alfa-béta vágás segíteni [1]. Az alapötlet, hogy ha a lépésünkre az ellenfélnek már van egy nagyon erős lépése, akkor azt inkább ne is vizsgáljuk tovább.
13	0.590909	0	Vegyük észre, hogy a fenti két számításban az 1/P(fogfájás) konstans értékű marad függetlenül attól, hogy a Lyuk mely értékét számítjuk. Valójában ez egy, a P(Lyuk∣fogfájás)-t normalizálás (normalization) konstansnak tekinthető, amely biztosítja, hogy a feltételes valószínűségek összege 1 lesz. A valószínűségekkel foglalkozó fejezetekben az ilyen konstansokat a-val fogjuk jelölni. E jelölés segítségével a két előző kifejezés egybefoglalható:
17	0.666667	0	[730-1.png] Fontos Erre a játékra nincs domináns stratégiai egyensúly, de létezik két Nash-egyensúly: (dvd, dvd) és (cd, cd). Tudjuk, hogy ezek Nash-egyensúlyok, mivel akármelyik játékos is vált egyoldalúan egy különböző stratégiára, az rosszabbul fog állni. Most az ágenseknek a problémája a következő: több elfogadható megoldás is létezik, de ha az egyes ágensek különböző megoldást választanak, akkor a kiadódó stratégiaprofil egyáltalán nem lesz megoldás, és mindkét ágens veszteséget fog elszenvedni. Hogyan egyezhetnek meg egy megoldásban? Egy válasz erre, hogy mindkettőnek a Pareto-optimális megoldást kell választania (dvd, dvd); azaz leszűkíthetjük a „megoldás” definícióját az egyértelmű Pareto-optimális Nash-egyensúlyokra, feltéve, hogy létezik ilyen. Minden játéknak van legalább egy Pareto-optimális megoldása, de egy játéknak lehet több egyensúlyi pontja, de lehet, hogy ezek nem egyensúlyi pontok. Például beállíthatjuk a jutalmakat a (dvd, dvd)-nél 5-re 9 helyett. Ebben az esetben két egyenlő Pareto-optimális egyensúlyi pont létezik. A közöttük való választáshoz az ágensek vagy találgatnak, vagy kommunikálnak, ami vagy egy megállapodás kimondását jelenti, ami sorrendezi a megoldásokat a játék megkezdődése előtt, vagy tárgyalást jelent, hogy egy kölcsönösen előnyös megoldás alakuljon ki a játék folyamán (ami egy többlépéses játék részeként megjelenő kommunikációs cselekvések létét jelentené). A kommunikáció így pontosan ugyanazokból az okokból jelenik meg, mint a többágenses tervezésnél a  fejezetben. Az ilyen játékokat, ahol a játékosoknak szükséges kommunikálniuk, koordinációs játékoknak (coordination games) nevezzük.
6	0.1	1	A játékosoknak a stratégiája immár nem egy-egy eloszlás, amely a tiszta stratégiákhoz rendel valószínűségeket, hanem most már minden típusnak van egy-egy ilyen eloszlása. A típusokhoz kevert stratégiákat rendelő fi leképezéseket stratégia-profilnak nevezik. A Bayes-i játékokban tehát a játékosoknak immár stratégia-profilja van, és e szerint játszanak. Nyilván, amennyiben egy játékos típusa adott, úgy ez egyértelműen meghatározza a játékos által játszott kevert stratégiát, viszont a játékosok feltevésünk szerint a többi játékos típusával kapcsolatban csak hiedelmekkel rendelkeznek, nem ismerik pontosan. Ezért van tehát szükség stratégia-profilokra.
1	0.275862	1	Az fMR még a morfológiai eltérések előtt jelezheti a kezdődő Alzheimer-kórt. Egyes vizsgálatok eredményei szerint az fMR segítségével követhetjük a dementia kezelésének hatékonyságát. Az fMR segítségével nyomon követhetjük a Parkinson-kór gyógyszeres és funkcionális idegsebészeti terápiáját, és segít a terápiás hatás megértésében.
6	0.1	1	Látható, hogy ez a szabály egyértelműen kiegyenlítetté teszi a játékot, mivel a kezdő játékos nem fog olyan lépést tenni, amellyel nagy előnyre tenne szert, mivel ekkor lényegében saját magát helyezné hátrányos helyzetbe.
5	0.181818	1	A rekurzió előző szintjén, a 8. lépésben, ahol a Q változónak kerestünk és adtuk a BLUE értéket, most hamis érték adódott az algoritmus ön-meghívása eredményeképpen. Ezért tehát azon a rekurziós szinten a FOR ciklus egyel tovább próbál lépni, és a Q változónak a BLUE értéken túl egy további újabb értéket adni. Sajnos azonban ezen a szinten már a Q változó esetében is minden lehetséges értéket kipróbáltunk, így itt is a FOR ciklus végére érünk. Előtte még természetesen töröljük a legutóbbi Q=BLUE értékadást, kilépünk a FOR ciklusból, és a kód utolsó sorára kerül a vezérlés, ami hamis visszatérési értéket eredményez a rekurzió még egyel fentebbi szintjén, ahol az NT változónak kerestünk, és adtunk legutóbb GREEN értéket (lásd. 4. lépés).
24	0.791667	1	A körülvevő világ vizuális információinak adekvát észlelése kulcskérdés a túlélés szempontjából – nem véletlen tehát, hogy a látás az ember vezető szenzoros modalitása. Az emberi szem számára a fény sugárzó energiája adott hullámhossz-intervallumban fordítható át idegimpulzusokba, azaz látható.
8	0.064516	1	A PUFF feladata az, hogy értelmezze a légzésfunkciós (PF) vizsgálati eredményeket, a kapott eredményeket értelmezze, értékelje, jelentést készítsen azokról. Segítségével a diagnózis könnyebben felállítható, ezen túl a tudományos kutatásokhoz is segítséget nyújt.
22	0.444444	0	E szerint egy karaktersorozat, amely egy x szemantikájú számjegyből és egy azt követő y szemantikájú számjegyből áll, egy [x, y] szemantikával rendelkező NP-t formál, amely a háló egy négyzetére alkalmazott jelölésünk.
11	0.461538	1	A fenyegetettség feloldása csakis azáltal lehetséges, hogy a fent említett veszélytől tartva, a fenyegető cselekvést olyan helyre tesszük, ahol - akármilyen későbbi sorba rakás szempontjából – bajt nem tud okozni. Mivel a tervben létező rendezéseket megváltoztatni nem szabad, egyetlen lehetőség új rendező kényszereket a tervhez hozzáadni. Ezt nevezzük hátramozdítással (amikor a fenyegető cselekvést a védett szakaszt megelőző helyre kényszerítjük a tervben (középső ábra), ill. előremozdítással (amikor a fenyegető cselekvést a védett szakasz utáni helyre kényszerítjük a tervben (jobboldali ábra).
